(1,1,0.0)
(1,2,0.0)
(1,3,0.0)
(1,4,0.0)
(1,5,0.0)
(1,6,0.0)
(1,7,0.00801706314086914)
(1,8,0.00801706314086914)
(1,9,0.00801706314086914)
(1,10,0.012348413467407227)
(1,11,0.012348413467407227)
(1,12,0.01637721061706543)
(1,13,0.01637721061706543)
(1,14,0.01637721061706543)
(1,15,0.024381160736083984)
(1,16,0.024381160736083984)
(1,17,0.024381160736083984)
(1,18,0.024381160736083984)
(1,19,0.030232906341552734)
(1,20,0.03274369239807129)
(2,1,0.03274369239807129)
(2,2,0.03274369239807129)
(2,3,0.03274369239807129)
(2,4,0.03274369239807129)
(2,5,0.03274369239807129)
(2,6,0.04124283790588379)
(2,7,0.04124283790588379)
(2,8,0.04124283790588379)
(2,9,0.0492401123046875)
(2,10,0.0492401123046875)
(2,11,0.06527185440063477)
(2,12,0.08126974105834961)
(2,13,0.08126974105834961)
(2,14,0.09730315208435059)
(2,15,0.12177109718322754)
(2,16,0.13032007217407227)
(2,17,0.16209816932678223)
(2,18,0.17009854316711426)
(2,19,0.31621336936950684)
(2,20,0.3485832214355469)
(3,1,0.3485832214355469)
(3,2,0.356597900390625)
(3,3,0.356597900390625)
(3,4,0.356597900390625)
(3,5,0.356597900390625)
(3,6,0.356597900390625)
(3,7,0.3645970821380615)
(3,8,0.3645970821380615)
(3,9,0.37259387969970703)
(3,10,0.42210912704467773)
(3,11,0.44616198539733887)
(3,12,0.45417094230651855)
(3,13,0.4621584415435791)
(3,14,0.49589014053344727)
(3,15,0.551156759262085)
(3,16,0.5996639728546143)
(3,17,0.6403675079345703)
(3,18,0.7607991695404053)
(3,19,0.8575778007507324)
(3,20,0.9862155914306641)
(4,1,0.9862155914306641)
(4,2,0.9862155914306641)
(4,3,0.994614839553833)
(4,4,0.9971315860748291)
(4,5,0.9971315860748291)
(4,6,1.002648115158081)
(4,7,1.010674238204956)
(4,8,1.0266921520233154)
(4,9,1.0347628593444824)
(4,10,1.1306843757629395)
(4,11,1.2199008464813232)
(4,12,1.2437987327575684)
(4,13,1.3243026733398438)
(4,14,1.7073814868927002)
(4,15,1.773482084274292)
(4,16,2.003530740737915)
(4,17,2.011528730392456)
(4,18,3.0378975868225098)
(4,19,3.621797800064087)
(4,20,4.1242594718933105)
(5,1,4.1242594718933105)
(5,2,4.1242594718933105)
(5,3,4.1242594718933105)
(5,4,4.133617877960205)
(5,5,4.150083065032959)
(5,6,4.189110994338989)
(5,7,4.205137729644775)
(5,8,4.22952675819397)
(5,9,4.253525733947754)
(5,10,4.390690565109253)
(5,11,4.5201733112335205)
(5,12,4.584176778793335)
(5,13,4.592179775238037)
(5,14,5.057066440582275)
(5,15,5.587124586105347)
(5,16,5.886301755905151)
(5,17,5.999248743057251)
(5,18,8.773833751678467)
(5,19,8.830564975738525)
(5,20,11.839288234710693)
(6,1,11.846797227859497)
(6,2,11.848153591156006)
(6,3,11.855196714401245)
(6,4,11.863606929779053)
(6,5,11.880144834518433)
(6,6,11.937823057174683)
(6,7,12.43876051902771)
(6,8,12.536867141723633)
(6,9,12.7691330909729)
(6,10,12.868175745010376)
(6,11,12.951440572738647)
(6,12,13.042471647262573)
(6,13,14.00518012046814)
(6,14,14.559786319732666)
(6,15,15.99584412574768)
(6,16,16.47509455680847)
(6,17,17.192561149597168)
(6,18,17.496066570281982)
(6,19,18.198360204696655)
(6,20,20.389389514923096)
(7,1,20.389389514923096)
(7,2,20.39738917350769)
(7,3,20.39738917350769)
(7,4,20.46140956878662)
(7,5,20.49377202987671)
(7,6,21.048883199691772)
(7,7,21.137773036956787)
(7,8,21.161539793014526)
(7,9,21.389252185821533)
(7,10,21.561903953552246)
(7,11,22.28205132484436)
(7,12,24.568544387817383)
(7,13,25.532509326934814)
(7,14,25.65460443496704)
(7,15,30.892794370651245)
(7,16,31.89652991294861)
(7,17,37.19135355949402)
(7,18,40.131720542907715)
(7,19,47.81547212600708)
(7,20,48.31260681152344)
(8,1,48.31260681152344)
(8,2,48.320603132247925)
(8,3,48.33660650253296)
(8,4,48.400779485702515)
(8,5,48.57767391204834)
(8,6,48.69721031188965)
(8,7,48.90609955787659)
(8,8,49.05816626548767)
(8,9,51.075263023376465)
(8,10,51.343037366867065)
(8,11,52.24232244491577)
(8,12,52.40377688407898)
(8,13,53.758385181427)
(8,14,57.7703378200531)
(8,15,59.87397861480713)
(8,16,66.64452147483826)
(8,17,79.20429706573486)
(8,18,92.10912251472473)
(8,19,102.32715797424316)
(8,20,113.44635486602783)
(9,1,113.44635486602783)
(9,2,113.45469975471497)
(9,3,113.45469975471497)
(9,4,113.55024647712708)
(9,5,113.6638445854187)
(9,6,114.04324626922607)
(9,7,114.74426531791687)
(9,8,116.18395233154297)
(9,9,117.60367560386658)
(9,10,118.44605207443237)
(9,11,119.0319881439209)
(9,12,124.20696449279785)
(9,13,125.21195936203003)
(9,14,136.11443614959717)
(9,15,140.85228157043457)
(9,16,160.05893349647522)
(9,17,163.30236959457397)
(9,18,199.8018035888672)
(9,19,204.53269362449646)
(9,20,220.55536675453186)
(10,1,220.55536675453186)
(10,2,220.55536675453186)
(10,3,220.6116223335266)
(10,4,220.66808080673218)
(10,5,221.2161090373993)
(10,6,222.17785668373108)
(10,7,222.79744005203247)
(10,8,223.7154417037964)
(10,9,228.28840160369873)
(10,10,229.54433631896973)
(10,11,242.2245056629181)
(10,12,243.75233340263367)
(10,13,248.98935389518738)
(10,14,256.04068899154663)
(10,15,268.1313042640686)
(10,16,271.26220703125)
(10,17,280.1528379917145)
(10,18,289.8104999065399)
(10,19,291.9924461841583)
(10,20,341.4045350551605)
(11,1,341.4045350551605)
(11,2,341.4128837585449)
(11,3,341.42117404937744)
(11,4,341.5424084663391)
(11,5,341.5910973548889)
(11,6,342.1648516654968)
(11,7,343.6833276748657)
(11,8,344.2789604663849)
(11,9,344.8584334850311)
(11,10,344.97442150115967)
(11,11,347.5288202762604)
(11,12,348.20181488990784)
(11,13,349.0004231929779)
(11,14,368.4105134010315)
(11,15,373.50600600242615)
(11,16,380.5183675289154)
(11,17,395.249418258667)
(11,18,423.28164410591125)
(11,19,438.60294938087463)
(11,20,442.0152370929718)
(12,1,442.02450823783875)
(12,2,442.17114901542664)
(12,3,442.2455987930298)
(12,4,442.5094177722931)
(12,5,443.6089873313904)
(12,6,443.6347713470459)
(12,7,444.4079039096832)
(12,8,449.1890733242035)
(12,9,453.47779846191406)
(12,10,464.3596749305725)
(12,11,471.7877595424652)
(12,12,480.9844012260437)
(12,13,526.4528479576111)
(12,14,540.583643913269)
(12,15,551.9254651069641)
(12,16,555.2586984634399)
(12,17,562.2814190387726)
(12,18,566.6735360622406)
(12,19,576.8173623085022)
(12,20,585.3918402194977)
(13,1,585.3918402194977)
(13,2,585.4166643619537)
(13,3,585.4254460334778)
(13,4,586.5834047794342)
(13,5,587.2053008079529)
(13,6,588.912385225296)
(13,7,589.6285371780396)
(13,8,590.0058877468109)
(13,9,590.5426509380341)
(13,10,594.6147253513336)
(13,11,596.5219130516052)
(13,12,614.4196400642395)
(13,13,614.9942471981049)
(13,14,630.3633260726929)
(13,15,641.910044670105)
(13,16,649.0834054946899)
(13,17,658.0420501232147)
(13,18,692.0346105098724)
(13,19,695.9333589076996)
(13,20,698.3357353210449)
(14,1,698.3357353210449)
(14,2,698.3599951267242)
(14,3,698.5703871250153)
(14,4,698.8354585170746)
(14,5,699.3886141777039)
(14,6,699.745400428772)
(14,7,701.7298448085785)
(14,8,710.0904169082642)
(14,9,721.1800692081451)
(14,10,724.109466791153)
(14,11,728.4770288467407)
(14,12,735.1597843170166)
(14,13,743.2455949783325)
(14,14,768.4988424777985)
(14,15,796.5659816265106)
(14,16,834.2940893173218)
(14,17,950.0180585384369)
(14,18,984.1244292259216)
(14,19,1036.1339383125305)
(14,20,1070.33771109581)
(15,1,1070.33771109581)
(15,2,1070.3457040786743)
(15,3,1070.467119216919)
(15,4,1071.892344713211)
(15,5,1073.722627401352)
(15,6,1076.4619145393372)
(15,7,1079.843730688095)
(15,8,1180.338889837265)
(15,9,1185.4192321300507)
(15,10,1186.2419624328613)
(15,11,1201.3591256141663)
(15,12,1226.9563093185425)
(15,13,1227.830950975418)
(15,14,1274.6337718963623)
(15,15,1291.7990505695343)
(15,16,1396.307025194168)
(15,17,1428.7678995132446)
(15,18,1464.2066214084625)
(15,19,1513.523898601532)
(15,20,1601.8798525333405)
(16,1,1601.8818519115448)
(16,2,1601.8898549079895)
(16,3,1601.9738323688507)
(16,4,1602.0223414897919)
(16,5,1602.3452124595642)
(16,6,1604.3562047481537)
(16,7,1605.906485080719)
(16,8,1607.2109320163727)
(16,9,1619.7233409881592)
(16,10,1622.6568548679352)
(16,11,1623.3581540584564)
(16,12,1650.0434219837189)
(16,13,1696.3428933620453)
(16,14,1737.9970602989197)
(16,15,1776.9129304885864)
(16,16,1861.8421714305878)
(16,17,1889.9494669437408)
(16,18,1903.4796743392944)
(16,19,1965.5757865905762)
(16,20,1968.5516908168793)
(17,1,1968.5526933670044)
(17,2,1968.6134066581726)
(17,3,1968.6640849113464)
(17,4,1969.4562571048737)
(17,5,1970.7569658756256)
(17,6,1975.1764323711395)
(17,7,1976.1644625663757)
(17,8,1976.5898871421814)
(17,9,1986.7873244285583)
(17,10,1990.5710022449493)
(17,11,1995.63853931427)
(17,12,1996.4579799175262)
(17,13,2015.8402574062347)
(17,14,2073.109222650528)
(17,15,2077.8686707019806)
(17,16,2078.0047821998596)
(17,17,2082.8508558273315)
(17,18,2143.07964015007)
(17,19,2146.524859905243)
(17,20,2162.6703867912292)
(18,1,2162.671395301819)
(18,2,2162.7470166683197)
(18,3,2162.8324570655823)
(18,4,2163.6069967746735)
(18,5,2163.736178636551)
(18,6,2164.823674917221)
(18,7,2178.2019457817078)
(18,8,2184.7382283210754)
(18,9,2186.655344247818)
(18,10,2187.495277404785)
(18,11,2193.171741247177)
(18,12,2214.576225757599)
(18,13,2295.1754150390625)
(18,14,2302.7940726280212)
(18,15,2316.304548025131)
(18,16,2326.8167157173157)
(18,17,2361.4530251026154)
(18,18,2364.8317370414734)
(18,19,2466.5533497333527)
(18,20,2564.3736889362335)
(19,1,2564.375694990158)
(19,2,2564.4026901721954)
(19,3,2564.506338596344)
(19,4,2564.548220872879)
(19,5,2567.4239864349365)
(19,6,2568.567835330963)
(19,7,2569.6256811618805)
(19,8,2584.427972316742)
(19,9,2585.206057071686)
(19,10,2617.2711639404297)
(19,11,2626.7939233779907)
(19,12,2664.6354491710663)
(19,13,2674.0566074848175)
(19,14,2766.330504179001)
(19,15,2777.561612844467)
(19,16,2809.210478782654)
(19,17,2811.9432899951935)
(19,18,2830.601431131363)
(19,19,2904.5806040763855)
(19,20,3054.669363260269)
(20,1,3054.669363260269)
(20,2,3054.785681962967)
(20,3,3056.2241411209106)
(20,4,3059.4384965896606)
(20,5,3067.3106260299683)
(20,6,3068.882666826248)
(20,7,3069.3340816497803)
(20,8,3112.511236190796)
(20,9,3125.1487426757812)
(20,10,3140.860938310623)
(20,11,3144.1741087436676)
(20,12,3178.613715171814)
(20,13,3269.2246265411377)
(20,14,3275.856924533844)
(20,15,3326.000583410263)
(20,16,3414.854779481888)
(20,17,3418.3091452121735)
(20,18,3421.8656809329987)
(20,19,3454.318323135376)
(20,20,3458.779900074005)
